+-------+--------------------+-------------------------+------------+---------+-------+---------+-----------+-------------+
|Record |exchange_right_id   |Country                  |Currency    |Amount   |Code   |Rate     |Valid_to   |Valid_from   |
|# 64   |2803                |Sri Lanka                |rupee       |100.0    |LKR    |19.091   |           |07-18-2007   |
|# 65   |2804                |Liberia                  |dollar      |100.0    |LRD    |36.652   |           |07-18-2007   |
|# 66   |2805                |Lesotho                  |loti        |1.0      |LSL    |3.006    |           |07-18-2007   |
|# 67   |2808                |Libya                    |dinar       |1.0      |LYD    |16.737   |           |07-18-2007   |
|# 68   |2809                |Morocco                  |dirham      |1.0      |MAD    |2.571    |           |07-18-2007   |
|# 69   |2810                |Moldova                  |leu         |1.0      |MDL    |1.75     |           |07-18-2007   |
|# 70   |2811                |Madagascar               |ariary      |1000.0   |MGA    |11.547   |           |07-18-2007   |
|# 71   |2812                |Macedonia                |denar       |100.0    |MKD    |46.486   |           |07-18-2007   |
|# 72   |2813                |Myanmar                  |kyat        |1.0      |MMK    |3.311    |           |07-18-2007   |
|# 73   |2814                |Mongolia                 |tugrik      |100.0    |MNT    |1.827    |           |07-18-2007   |
|# 74   |2815                |Macao                    |pataca      |1.0      |MOP    |2.655    |           |07-18-2007   |
|# 75   |2816                |Mauritania               |ouguiya     |100.0    |MRO    |8.182    |           |07-18-2007   |
|# 76   |2818                |Mauritius                |rupee       |100.0    |MUR    |67.701   |           |07-18-2007   |
|# 77   |2819                |Maldives                 |rufiyaa     |1.0      |MVR    |1.676    |           |07-18-2007   |
|# 78   |2820                |Malawi                   |kwacha      |100.0    |MWK    |15.266   |           |07-18-2007   |
|# 79   |2821                |Mexico                   |peso        |1.0      |MXN    |1.968    |           |07-18-2007   |
|# 80   |2823                |Mozambique               |new metical |1000.0   |MZN    |827.16   |           |07-18-2007   |
|# 81   |2824                |Namibia                  |dollar      |1.0      |NAD    |3.009    |           |07-18-2007   |
|# 82   |2825                |Nigeria                  |naira       |100.0    |NGN    |16.725   |           |07-18-2007   |
|# 83   |2826                |Nicaragua                |cordoba     |1.0      |NIO    |1.153    |           |07-18-2007   |
|# 84   |2828                |Nepal                    |rupee       |100.0    |NPR    |32.705   |           |07-18-2007   |
|# 85   |2830                |Oman                     |rial        |1.0      |OMR    |55.223   |           |07-18-2007   |
|# 86   |2831                |Panama                   |balboa      |1.0      |PAB    |21.258   |           |07-18-2007   |
|# 87   |2832                |Peru                     |nuevo sol   |1.0      |PEN    |6.712    |           |07-18-2007   |
|# 88   |2833                |Papua                    |kina        |1.0      |PGK    |7.015    |           |07-18-2007   |
|# 89   |2835                |Pakistan                 |rupee       |100.0    |PKR    |35.16    |           |07-18-2007   |
|# 90   |2837                |Paraguay                 |guarani     |1000.0   |PYG    |4.16     |           |07-18-2007   |
|# 91   |2838                |Qatar                    |rial        |1.0      |QAR    |5.841    |           |07-18-2007   |
|# 92   |2840                |Serbia                   |dinar       |100.0    |RSD    |36.482   |           |07-18-2007   |
|# 93   |2842                |Rwanda                   |franc       |100.0    |RWF    |3.911    |           |07-18-2007   |
|# 94   |2843                |Saudi Arabia             |riyal       |1.0      |SAR    |5.668    |           |07-18-2007   |
|# 95   |2844                |Solomon Islands          |dollar      |1.0      |SBD    |2.955    |           |07-18-2007   |
|# 96   |2845                |Seychelles               |rupee       |1.0      |SCR    |3.376    |           |07-18-2007   |
|# 97   |2846                |Sudan                    |pound       |1.0      |SDG    |10.628   |           |07-18-2007   |
|# 98   |2849                |Saint Helena             |pound       |1.0      |SHP    |42.552   |           |07-18-2007   |
|# 99   |2851                |Sierra Leon              |leone       |1000.0   |SLL    |7.134    |           |07-18-2007   |
|# 100  |2852                |Somalia                  |shilling    |1000.0   |SOS    |15.912   |           |07-18-2007   |
|# 101  |2853                |Suriname                 |dollar      |1.0      |SRD    |7.844    |           |07-18-2007   |
|# 102  |2854                |Sao Tome                 |dobra       |1000.0   |STD    |1.58     |           |07-18-2007   |
|# 103  |2855                |El Salvador              |colon       |1.0      |SVC    |2.43     |           |07-18-2007   |
|# 104  |2856                |Syria                    |pound       |100.0    |SYP    |40.952   |           |07-18-2007   |
|# 105  |2857                |Swaziland                |lilangeni   |1.0      |SZL    |3.009    |           |07-18-2007   |
|# 106  |2859                |Tadjikistan              |somoni      |1.0      |TJS    |6.181    |           |07-18-2007   |
|# 107  |2860                |Turkmenistan             |manat       |1000.0   |TMM    |4.088    |           |07-18-2007   |
|# 108  |2861                |Tunisia                  |dinar       |1.0      |TND    |16.403   |           |07-18-2007   |
|# 109  |2862                |Tonga                    |pa`anga     |1.0      |TOP    |11.01    |           |07-18-2007   |
|# 110  |2863                |East Timor               |escudo      |1.0      |TPE    |21.258   |           |07-18-2007   |
|# 111  |2865                |Trinidad                 |dollar      |1.0      |TTD    |3.375    |           |07-18-2007   |
|# 112  |2866                |Taiwan                   |dollar      |100.0    |TWD    |64.94    |           |07-18-2007   |
|# 113  |2867                |Tanzania                 |shilling    |100.0    |TZS    |1.714    |           |07-18-2007   |
|# 114  |2868                |Ukraine                  |hryvna      |1.0      |UAH    |4.252    |           |07-18-2007   |
|# 115  |2869                |Uganda                   |shilling    |100.0    |UGX    |1.345    |           |07-18-2007   |
|# 116  |2871                |Uruguay                  |peso        |100.0    |UYU    |89.696   |           |07-18-2007   |
|# 117  |2872                |Uzbekistan               |sum         |100.0    |UZS    |1.68     |           |07-18-2007   |
|# 118  |2873                |Venezuela                |bolivar     |100.0    |VEB    |0.991    |           |07-18-2007   |
|# 119  |2874                |Vietnam                  |dong        |1000.0   |VND    |1.318    |           |07-18-2007   |
|# 120  |2875                |Vanuatu                  |vatu        |100.0    |VUV    |22.086   |           |07-18-2007   |
|# 121  |2876                |Samoa                    |tala        |1.0      |WST    |8.135    |           |07-18-2007   |
|# 122  |2877                |BEAC                     |franc CFA   |100.0    |XAF    |4.364    |           |07-18-2007   |
|# 123  |2878                |East Caribbean           |dollar      |1.0      |XCD    |7.962    |           |07-18-2007   |
|# 124  |2880                |BCEAO                    |franc CFA   |100.0    |XOF    |4.364    |           |07-18-2007   |
|# 125  |2881                |French Polynesia         |franc CFP   |100.0    |XPF    |24.295   |           |07-18-2007   |
|# 126  |2882                |Yemen                    |rial        |100.0    |YER    |10.732   |           |07-18-2007   |
|# 127  |2884                |Zambia                   |kwacha      |1000.0   |ZMK    |5.684    |           |07-18-2007   |
|# 128  |2885                |Zimbabwe                 |dollar      |1000.0   |ZWD    |85.032   |           |07-18-2007   |
+-------+--------------------+-------------------------+------------+---------+-------+---------+-----------+-------------+
